Path analysis results at Kleinmond 

Inference for Bugs model at "physiology-path-analysis.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                   mu.vect sd.vect    2.5%     25%     50%    75%  97.5%  Rhat n.eff
mu.photo[9]          1.232   0.482   0.279   0.916   1.225  1.550  2.171 1.002  2500
mu.photo[10]        -0.259   0.308  -0.870  -0.458  -0.262 -0.062  0.347 1.002  1900
mu.photo[11]         0.037   0.377  -0.691  -0.209   0.037  0.276  0.805 1.003  1200
mu.photo[12]         0.025   0.297  -0.552  -0.176   0.021  0.221  0.626 1.002  2200
mu.photo[13]        -0.405   0.478  -1.350  -0.726  -0.413 -0.103  0.560 1.001  4000
mu.photo[14]         0.028   0.577  -1.099  -0.349   0.026  0.385  1.183 1.001  3400
mu.photo[15]        -0.902   0.512  -1.929  -1.232  -0.905 -0.565  0.086 1.001  3200
mu.photo[16]        -0.679   0.365  -1.415  -0.904  -0.681 -0.452  0.050 1.001  4000
mu.photo[17]        -0.241   0.623  -1.429  -0.647  -0.240  0.159  0.969 1.001  4000
mu.photo[18]         0.182   0.337  -0.474  -0.045   0.188  0.399  0.838 1.001  4000
mu.photo[19]         0.932   0.350   0.226   0.700   0.934  1.162  1.613 1.001  4000
mu.photo[20]         0.499   0.353  -0.207   0.269   0.505  0.729  1.199 1.001  4000
mu.photo[21]         0.967   0.460   0.030   0.670   0.969  1.264  1.887 1.001  4000
rho.lf[1,1]          1.000   0.000   1.000   1.000   1.000  1.000  1.000 1.000     1
rho.lf[2,1]          0.003   0.401  -0.745  -0.301   0.009  0.314  0.730 1.000  4000
rho.lf[3,1]         -0.012   0.404  -0.734  -0.327  -0.018  0.303  0.733 1.001  4000
rho.lf[4,1]          0.006   0.398  -0.743  -0.302   0.012  0.313  0.737 1.001  4000
rho.lf[5,1]          0.007   0.400  -0.715  -0.309   0.011  0.320  0.731 1.001  4000
rho.lf[1,2]          0.003   0.401  -0.745  -0.301   0.009  0.314  0.730 1.000  4000
rho.lf[2,2]          1.000   0.000   1.000   1.000   1.000  1.000  1.000 1.000     1
rho.lf[3,2]          0.004   0.404  -0.736  -0.302   0.001  0.311  0.739 1.001  4000
rho.lf[4,2]          0.007   0.398  -0.739  -0.302   0.014  0.313  0.718 1.001  4000
rho.lf[5,2]          0.004   0.397  -0.726  -0.298   0.003  0.311  0.729 1.001  4000
rho.lf[1,3]         -0.012   0.404  -0.734  -0.327  -0.018  0.303  0.733 1.001  4000
rho.lf[2,3]          0.004   0.404  -0.736  -0.302   0.001  0.311  0.739 1.001  4000
rho.lf[3,3]          1.000   0.000   1.000   1.000   1.000  1.000  1.000 1.000     1
rho.lf[4,3]         -0.013   0.392  -0.738  -0.310  -0.027  0.284  0.708 1.001  2700
rho.lf[5,3]         -0.012   0.407  -0.744  -0.328  -0.013  0.307  0.740 1.001  3800
rho.lf[1,4]          0.006   0.398  -0.743  -0.302   0.012  0.313  0.737 1.001  4000
rho.lf[2,4]          0.007   0.398  -0.739  -0.302   0.014  0.313  0.718 1.001  4000
rho.lf[3,4]         -0.013   0.392  -0.738  -0.310  -0.027  0.284  0.708 1.001  2700
rho.lf[4,4]          1.000   0.000   1.000   1.000   1.000  1.000  1.000 1.000     1
rho.lf[5,4]          0.012   0.400  -0.726  -0.292   0.017  0.322  0.727 1.001  4000
rho.lf[1,5]          0.007   0.400  -0.715  -0.309   0.011  0.320  0.731 1.001  4000
rho.lf[2,5]          0.004   0.397  -0.726  -0.298   0.003  0.311  0.729 1.001  4000
rho.lf[3,5]         -0.012   0.407  -0.744  -0.328  -0.013  0.307  0.740 1.001  3800
rho.lf[4,5]          0.012   0.400  -0.726  -0.292   0.017  0.322  0.727 1.001  4000
rho.lf[5,5]          1.000   0.000   1.000   1.000   1.000  1.000  1.000 1.000     1
rho.ph[1,1]          1.000   0.000   1.000   1.000   1.000  1.000  1.000 1.000     1
rho.ph[2,1]         -0.070   0.276  -0.583  -0.264  -0.081  0.122  0.479 1.001  4000
rho.ph[3,1]          0.141   0.286  -0.448  -0.062   0.159  0.350  0.641 1.001  4000
rho.ph[1,2]         -0.070   0.276  -0.583  -0.264  -0.081  0.122  0.479 1.001  4000
rho.ph[2,2]          1.000   0.000   1.000   1.000   1.000  1.000  1.000 1.000     1
rho.ph[3,2]          0.257   0.272  -0.322   0.074   0.278  0.459  0.727 1.001  4000
rho.ph[1,3]          0.141   0.286  -0.448  -0.062   0.159  0.350  0.641 1.001  4000
rho.ph[2,3]          0.257   0.272  -0.322   0.074   0.278  0.459  0.727 1.001  4000
rho.ph[3,3]          1.000   0.000   1.000   1.000   1.000  1.000  1.000 1.000     1
sigmasq.fluor        0.601   0.436   0.184   0.341   0.485  0.718  1.748 1.001  4000
sigmasq.lftemp       0.877   0.851   0.222   0.422   0.638  1.001  3.104 1.002  2300
sigmasq.photo        0.669   0.257   0.332   0.492   0.622  0.789  1.293 1.001  4000
sigmasq.trans        1.605   1.236   0.395   0.834   1.287  1.937  4.890 1.001  4000
deviance           -13.878  32.743 -77.460 -35.706 -13.686  7.239 51.810 1.001  3400

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 536.0 and DIC = 522.1
DIC is an estimate of expected predictive error (lower deviance is better).
