Path analysis results at De Hoop 
 physiology-path-analysis-model-4.txt 

Inference for Bugs model at "physiology-path-analysis-model-4.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                     mu.vect sd.vect   2.5%    25%    50%    75%  97.5%  Rhat n.eff
mu.photo[14]           1.006   0.211  0.600  0.866  1.007  1.141  1.429 1.001  4000
mu.photo[15]          -0.817   0.249 -1.294 -0.988 -0.820 -0.658 -0.313 1.001  4000
mu.photo[16]          -1.909   0.359 -2.597 -2.149 -1.914 -1.660 -1.200 1.001  4000
mu.photo[17]           0.202   0.214 -0.227  0.063  0.205  0.344  0.627 1.002  2000
mu.photo[18]           1.049   0.229  0.592  0.902  1.050  1.196  1.507 1.002  2000
mu.photo[19]           0.074   0.309 -0.559 -0.125  0.081  0.274  0.679 1.001  4000
mu.photo[20]          -0.745   0.246 -1.239 -0.902 -0.743 -0.584 -0.269 1.001  4000
mu.photo[21]          -0.292   0.137 -0.565 -0.385 -0.292 -0.202 -0.023 1.001  4000
mu.photo[22]          -0.362   0.173 -0.702 -0.475 -0.363 -0.247 -0.016 1.001  4000
mu.photo[23]          -0.895   0.161 -1.213 -1.006 -0.894 -0.789 -0.582 1.001  4000
mu.photo[24]          -0.729   0.162 -1.044 -0.838 -0.728 -0.623 -0.417 1.001  4000
mu.photo[25]          -0.437   0.152 -0.728 -0.538 -0.440 -0.336 -0.130 1.001  4000
mu.photo[26]          -1.112   0.194 -1.491 -1.243 -1.113 -0.984 -0.732 1.001  4000
phx.lf[1,1]            0.927   0.263  0.547  0.741  0.882  1.057  1.571 1.001  4000
phx.lf[2,1]           -0.048   0.107 -0.273 -0.109 -0.044  0.019  0.158 1.001  4000
phx.lf[3,1]           -0.276   0.143 -0.615 -0.354 -0.260 -0.178 -0.050 1.000  4000
phx.lf[4,1]            0.198   0.167 -0.100  0.090  0.188  0.296  0.570 1.002  1900
phx.lf[5,1]            0.200   0.158 -0.078  0.090  0.191  0.291  0.553 1.001  2900
phx.lf[1,2]           -0.048   0.107 -0.273 -0.109 -0.044  0.019  0.158 1.001  4000
phx.lf[2,2]            0.300   0.086  0.175  0.240  0.284  0.343  0.507 1.001  4000
phx.lf[3,2]            0.018   0.075 -0.126 -0.027  0.017  0.062  0.166 1.001  3700
phx.lf[4,2]           -0.024   0.094 -0.220 -0.079 -0.021  0.031  0.160 1.001  4000
phx.lf[5,2]            0.099   0.094 -0.074  0.038  0.094  0.156  0.300 1.001  4000
phx.lf[1,3]           -0.276   0.143 -0.615 -0.354 -0.260 -0.178 -0.050 1.000  4000
phx.lf[2,3]            0.018   0.075 -0.126 -0.027  0.017  0.062  0.166 1.001  3700
phx.lf[3,3]            0.462   0.132  0.271  0.368  0.441  0.529  0.782 1.001  4000
phx.lf[4,3]           -0.065   0.115 -0.306 -0.132 -0.061  0.006  0.155 1.001  4000
phx.lf[5,3]           -0.099   0.114 -0.350 -0.165 -0.094 -0.026  0.108 1.001  2700
phx.lf[1,4]            0.198   0.167 -0.100  0.090  0.188  0.296  0.570 1.002  1900
phx.lf[2,4]           -0.024   0.094 -0.220 -0.079 -0.021  0.031  0.160 1.001  4000
phx.lf[3,4]           -0.065   0.115 -0.306 -0.132 -0.061  0.006  0.155 1.001  4000
phx.lf[4,4]            0.720   0.206  0.422  0.577  0.682  0.827  1.213 1.003  1300
phx.lf[5,4]            0.289   0.154  0.040  0.184  0.270  0.374  0.646 1.002  1500
phx.lf[1,5]            0.200   0.158 -0.078  0.090  0.191  0.291  0.553 1.001  2900
phx.lf[2,5]            0.099   0.094 -0.074  0.038  0.094  0.156  0.300 1.001  4000
phx.lf[3,5]           -0.099   0.114 -0.350 -0.165 -0.094 -0.026  0.108 1.001  2700
phx.lf[4,5]            0.289   0.154  0.040  0.184  0.270  0.374  0.646 1.002  1500
phx.lf[5,5]            0.691   0.194  0.408  0.556  0.659  0.788  1.156 1.001  3600
phx.ph[1,1]            0.228   0.113  0.088  0.151  0.203  0.277  0.518 1.001  4000
phx.ph[2,1]            0.080   0.103 -0.102  0.018  0.069  0.131  0.327 1.002  2000
phx.ph[3,1]           -0.055   0.074 -0.238 -0.089 -0.044 -0.009  0.064 1.001  3900
phx.ph[1,2]            0.080   0.103 -0.102  0.018  0.069  0.131  0.327 1.002  2000
phx.ph[2,2]            0.479   0.199  0.222  0.342  0.436  0.571  0.964 1.002  2400
phx.ph[3,2]            0.022   0.093 -0.164 -0.030  0.019  0.070  0.215 1.003  1300
phx.ph[1,3]           -0.055   0.074 -0.238 -0.089 -0.044 -0.009  0.064 1.001  3900
phx.ph[2,3]            0.022   0.093 -0.164 -0.030  0.019  0.070  0.215 1.003  1300
phx.ph[3,3]            0.209   0.095  0.092  0.146  0.188  0.249  0.452 1.001  4000
rho.lf[1,1]            1.000   0.000  1.000  1.000  1.000  1.000  1.000 1.000     1
rho.lf[2,1]           -0.088   0.184 -0.435 -0.216 -0.093  0.038  0.276 1.001  4000
rho.lf[3,1]           -0.416   0.156 -0.682 -0.529 -0.431 -0.316 -0.087 1.001  4000
rho.lf[4,1]            0.239   0.175 -0.131  0.125  0.249  0.366  0.548 1.001  3600
rho.lf[5,1]            0.247   0.170 -0.096  0.129  0.257  0.372  0.553 1.001  3800
rho.lf[1,2]           -0.088   0.184 -0.435 -0.216 -0.093  0.038  0.276 1.001  4000
rho.lf[2,2]            1.000   0.000  1.000  1.000  1.000  1.000  1.000 1.000     1
rho.lf[3,2]            0.048   0.185 -0.317 -0.076  0.051  0.175  0.405 1.001  3600
rho.lf[4,2]           -0.051   0.186 -0.415 -0.178 -0.050  0.072  0.323 1.001  4000
rho.lf[5,2]            0.216   0.182 -0.161  0.092  0.227  0.349  0.536 1.001  3200
rho.lf[1,3]           -0.416   0.156 -0.682 -0.529 -0.431 -0.316 -0.087 1.001  4000
rho.lf[2,3]            0.048   0.185 -0.317 -0.076  0.051  0.175  0.405 1.001  3600
rho.lf[3,3]            1.000   0.000  1.000  1.000  1.000  1.000  1.000 1.000     1
rho.lf[4,3]           -0.111   0.182 -0.451 -0.236 -0.116  0.011  0.258 1.001  4000
rho.lf[5,3]           -0.171   0.179 -0.510 -0.294 -0.177 -0.052  0.187 1.001  3000
rho.lf[1,4]            0.239   0.175 -0.131  0.125  0.249  0.366  0.548 1.001  3600
rho.lf[2,4]           -0.051   0.186 -0.415 -0.178 -0.050  0.072  0.323 1.001  4000
rho.lf[3,4]           -0.111   0.182 -0.451 -0.236 -0.116  0.011  0.258 1.001  4000
rho.lf[4,4]            1.000   0.000  1.000  1.000  1.000  1.000  1.000 1.000     1
rho.lf[5,4]            0.404   0.160  0.062  0.303  0.415  0.518  0.680 1.001  3000
rho.lf[1,5]            0.247   0.170 -0.096  0.129  0.257  0.372  0.553 1.001  3800
rho.lf[2,5]            0.216   0.182 -0.161  0.092  0.227  0.349  0.536 1.001  3200
rho.lf[3,5]           -0.171   0.179 -0.510 -0.294 -0.177 -0.052  0.187 1.001  3000
rho.lf[4,5]            0.404   0.160  0.062  0.303  0.415  0.518  0.680 1.001  3000
rho.lf[5,5]            1.000   0.000  1.000  1.000  1.000  1.000  1.000 1.000     1
rho.ph[1,1]            1.000   0.000  1.000  1.000  1.000  1.000  1.000 1.000     1
rho.ph[2,1]            0.235   0.250 -0.300  0.071  0.255  0.415  0.665 1.003  1000
rho.ph[3,1]           -0.230   0.260 -0.686 -0.424 -0.246 -0.056  0.317 1.001  4000
rho.ph[1,2]            0.235   0.250 -0.300  0.071  0.255  0.415  0.665 1.003  1000
rho.ph[2,2]            1.000   0.000  1.000  1.000  1.000  1.000  1.000 1.000     1
rho.ph[3,2]            0.069   0.257 -0.426 -0.107  0.071  0.254  0.550 1.002  1600
rho.ph[1,3]           -0.230   0.260 -0.686 -0.424 -0.246 -0.056  0.317 1.001  4000
rho.ph[2,3]            0.069   0.257 -0.426 -0.107  0.071  0.254  0.550 1.002  1600
rho.ph[3,3]            1.000   0.000  1.000  1.000  1.000  1.000  1.000 1.000     1
sigmasq.indiv.cond     0.674   0.416  0.225  0.403  0.567  0.816  1.781 1.001  4000
sigmasq.indiv.fluor    0.892   0.588  0.279  0.513  0.735  1.075  2.384 1.001  4000
