Path analysis results at De Hoop 
 physiology-path-analysis-model-1.txt 

Inference for Bugs model at "physiology-path-analysis-model-1.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                     mu.vect sd.vect    2.5%    25%    50%    75%  97.5%  Rhat n.eff
mu.photo[22]          -0.052   0.243  -0.523 -0.209 -0.058  0.106  0.439 1.003  1400
mu.photo[23]          -0.619   0.246  -1.100 -0.776 -0.619 -0.459 -0.132 1.001  4000
mu.photo[24]          -0.514   0.236  -0.975 -0.668 -0.513 -0.361 -0.049 1.001  4000
mu.photo[25]          -0.449   0.174  -0.791 -0.563 -0.450 -0.335 -0.103 1.001  3400
mu.photo[26]          -1.257   0.296  -1.852 -1.451 -1.257 -1.060 -0.670 1.002  2600
phx.lf[1,1]            0.928   0.272   0.545  0.737  0.882  1.065  1.572 1.001  4000
phx.lf[2,1]           -0.050   0.105  -0.268 -0.111 -0.048  0.013  0.164 1.001  4000
phx.lf[3,1]           -0.271   0.146  -0.592 -0.351 -0.253 -0.172 -0.035 1.001  4000
phx.lf[4,1]            0.203   0.168  -0.094  0.094  0.191  0.294  0.575 1.002  2500
phx.lf[5,1]            0.205   0.167  -0.081  0.096  0.189  0.300  0.566 1.001  4000
phx.lf[1,2]           -0.050   0.105  -0.268 -0.111 -0.048  0.013  0.164 1.001  4000
phx.lf[2,2]            0.300   0.086   0.176  0.238  0.285  0.347  0.510 1.001  4000
phx.lf[3,2]            0.019   0.074  -0.120 -0.028  0.017  0.061  0.180 1.001  4000
phx.lf[4,2]           -0.028   0.094  -0.228 -0.083 -0.026  0.028  0.153 1.001  4000
phx.lf[5,2]            0.097   0.093  -0.069  0.037  0.092  0.150  0.302 1.001  4000
phx.lf[1,3]           -0.271   0.146  -0.592 -0.351 -0.253 -0.172 -0.035 1.001  4000
phx.lf[2,3]            0.019   0.074  -0.120 -0.028  0.017  0.061  0.180 1.001  4000
phx.lf[3,3]            0.463   0.133   0.269  0.369  0.440  0.534  0.780 1.001  4000
phx.lf[4,3]           -0.063   0.119  -0.313 -0.132 -0.060  0.008  0.168 1.001  4000
phx.lf[5,3]           -0.099   0.117  -0.355 -0.161 -0.090 -0.024  0.105 1.001  3400
phx.lf[1,4]            0.203   0.168  -0.094  0.094  0.191  0.294  0.575 1.002  2500
phx.lf[2,4]           -0.028   0.094  -0.228 -0.083 -0.026  0.028  0.153 1.001  4000
phx.lf[3,4]           -0.063   0.119  -0.313 -0.132 -0.060  0.008  0.168 1.001  4000
phx.lf[4,4]            0.721   0.215   0.426  0.575  0.681  0.827  1.236 1.001  3500
phx.lf[5,4]            0.291   0.163   0.035  0.188  0.274  0.377  0.650 1.007  4000
phx.lf[1,5]            0.205   0.167  -0.081  0.096  0.189  0.300  0.566 1.001  4000
phx.lf[2,5]            0.097   0.093  -0.069  0.037  0.092  0.150  0.302 1.001  4000
phx.lf[3,5]           -0.099   0.117  -0.355 -0.161 -0.090 -0.024  0.105 1.001  3400
phx.lf[4,5]            0.291   0.163   0.035  0.188  0.274  0.377  0.650 1.007  4000
phx.lf[5,5]            0.696   0.206   0.405  0.558  0.663  0.796  1.169 1.000  4000
