Path analysis results at De Hoop 
 physiology-path-analysis-model-3.txt 

Inference for Bugs model at "physiology-path-analysis-model-3.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                     mu.vect sd.vect   2.5%    25%    50%    75%   97.5%  Rhat n.eff
rho.ph[1,2]            0.235   0.251 -0.299  0.070  0.252  0.420   0.669 1.001  4000
rho.ph[2,2]            1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
rho.ph[3,2]            0.361   0.221 -0.128  0.223  0.380  0.526   0.729 1.002  1700
rho.ph[1,3]            0.055   0.262 -0.466 -0.125  0.062  0.240   0.533 1.001  4000
rho.ph[2,3]            0.361   0.221 -0.128  0.223  0.380  0.526   0.729 1.002  1700
rho.ph[3,3]            1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
sigmasq.cond           0.471   0.187  0.224  0.341  0.436  0.557   0.926 1.001  4000
sigmasq.indiv.cond     0.790   0.568  0.221  0.434  0.645  0.964   2.268 1.002  2300
sigmasq.indiv.fluor    0.903   0.599  0.285  0.522  0.747  1.095   2.523 1.001  4000
sigmasq.indiv.lftemp   1.051   0.719  0.291  0.583  0.858  1.286   2.840 1.002  1700
sigmasq.indiv.trans    0.552   0.357  0.188  0.332  0.465  0.656   1.448 1.001  3500
sigmasq.photo          0.225   0.082  0.122  0.173  0.210  0.259   0.414 1.001  4000
deviance              83.813  20.042 46.587 69.912 83.497 96.705 123.514 1.002  2100

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 200.7 and DIC = 284.5
DIC is an estimate of expected predictive error (lower deviance is better).
